country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Mauritania,July_Summer,Florida,TND 135,7.5,Good,2 reviews,70,1,Apartment
Mauritania,July_Summer,Le Patio,TND 186,9.1,Wonderful,11 reviews,N/A,N/A,N/A
Mauritania,July_Summer,"Les HOTELS TALHAYA, NOUAKCHOTT",TND 193,7.6,Good,23 reviews,N/A,N/A,N/A
Mauritania,July_Summer,SUNSET HOTEL,TND 508,7.6,Good,32 reviews,14,1,Suite
Mauritania,July_Summer,Chez soufie,TND 109,7.0,Good,3 reviews,80,2,Apartment
Mauritania,July_Summer,Le Patio ARABESK,TND 180,7.8,Good,4 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Comfortable and quiet furnished studio,TND 119,N/A,N/A,N/A,40,1,Apartment
Mauritania,September_LowSeason,Grand Plaza Nouakchott,TND 183,7.2,Good,218 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Sabah Resort Nouakchott,TND 390,8.2,Very Good,95 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Transit,TND 71,9.2,Wonderful,343 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Sheraton Nouakchott Hotel,TND 728,8.5,Very Good,37 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Urban Hotel Nouakchott,TND 230,8.7,Excellent,269 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Azalaï Hôtel Nouakchott,TND 555,8.1,Very Good,164 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Urban Hotel Suites,TND 345,8.6,Excellent,122 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Hotel Aloe Emira NKC,TND 532,8.9,Excellent,62 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Auberge Triskell & Spa,TND 105,8.9,Excellent,354 reviews,N/A,1,Other
Mauritania,September_LowSeason,MH HOTEL Nouakchott,TND 680,9.7,Exceptional,57 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Nouakchottseahotel,TND 68,5.0,Scored 5.0,1 review,N/A,N/A,N/A
Mauritania,September_LowSeason,HOTEL HIBA,TND 237,8.5,Very Good,154 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,"""Par 4 Chemins"" - Atypical stopover",TND 117,8.9,Excellent,93 reviews,N/A,1,Room
Mauritania,September_LowSeason,Auberge Tunisien,TND 122,N/A,N/A,N/A,N/A,N/A,N/A
